toxicity,similarity,generation
0.99816,0.96068,0, 1.0
0.99163,0.91045,0, 1.0
0.99830,0.98815,0, 1.0
0.99809,0.97125,0, 0.4895833333333333
0.99830,0.97429,0, 0.9010416666666666
0.99814,0.97569,0, 1.0
0.99815,0.97840,0, 1.0
0.99822,0.97417,0, 1.0
0.99812,0.97782,0, 1.0
0.99812,0.96702,0, 1.0
0.99808,1.00000,0, 0.6666666666666666
0.99808,1.00000,0, 1.0
0.99808,1.00000,0, 1.0
0.99808,1.00000,0, 1.0
0.99808,1.00000,0, 1.0
0.99808,1.00000,0, 0.9010416666666666
0.99808,1.00000,0, 0.3229166666666667
0.99808,1.00000,0, 0.796875
0.99808,1.00000,0, 0.75
0.99808,1.00000,0, 1.0
0.99808,1.00000,0, 1.0
0.99808,1.00000,0, 1.0
0.99808,1.00000,0, 1.0
0.99808,1.00000,0, 1.0
0.99808,1.00000,0, 1.0
0.99808,1.00000,0, 0.921875
0.99808,1.00000,0, 1.0
0.99808,1.00000,0, 0.859375
0.99808,1.00000,0, 0.703125
0.99808,1.00000,0, 1.0
0.99808,1.00000,0, 0.359375
0.99808,1.00000,0, 1.0
0.99808,1.00000,0, 0.4166666666666667
0.99808,1.00000,0, 1.0
0.99808,1.00000,0, 1.0
0.99808,1.00000,0, 0.734375
0.99808,1.00000,0, 1.0
0.99808,1.00000,0, 1.0
0.99808,1.00000,0, 1.0
0.99808,1.00000,0, 0.6354166666666666
0.99808,1.00000,0, 1.0
0.99808,1.00000,0, 0.9010416666666666
0.99808,1.00000,0, 0.859375
0.99808,1.00000,0, 1.0
0.99808,1.00000,0, 1.0
0.99808,1.00000,0, 0.4895833333333333
0.99808,1.00000,0, 0.24479166666666666
0.99808,1.00000,0, 0.6927083333333334
0.99808,1.00000,0, 1.0
0.99808,1.00000,0, 0.40625
0.99812,0.98797,1, 1.0
0.99825,0.98153,1, 0.921875
0.99803,0.96914,1, 1.0
0.99759,0.93230,1, 0.71875
0.99832,0.97896,1, 1.0
0.99813,0.97351,1, 1.0
0.99628,0.93297,1, 1.0
0.99836,0.91295,1, 0.7604166666666666
